bank_ref,journal_id,invoice_number,date,amount,vendor,description,tax_line,tax_confidence,tax_reason,match_source_count
BANK-0046,,,2026-07-01,43031.32,,PAYMENT REF 2294,Unclassified Expense,0.3,No keyword pattern matched,1
BANK-0047,,,2026-08-28,-12.0,,FIRST NATIONAL BANK,Bank Fees,0.9,Matched rule: Bank Fees,1
BANK-0048,,,2026-06-26,-25.0,,FIRST NATIONAL BANK,Bank Fees,0.9,Matched rule: Bank Fees,1
BANK-0049,,,2026-06-05,84.32,,FIRST NATIONAL BANK,Bank Fees,0.9,Matched rule: Bank Fees,1
BANK-0050,,,2026-06-06,220.0,,GLOBEX CORPORATION,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,JE-0003,,2026-08-06,41332.7,,Merchandise order (ref 4967),Revenue - Product Sales,0.95,Matched Revenue - Product Sales keywords,1
,JE-0004,,2026-08-22,1681.76,,Team offsite hotel - Hertz Car Rental,Rent - Office,0.9,Matched rule: Rent - Office,1
,JE-0007,,2026-06-18,4390.24,,Monthly office rent - Wayne Properties,Rent - Office,0.9,Matched rule: Rent - Office,1
,JE-0008,,2026-06-22,4018.59,,Cloud hosting - Initech Software,Software & Subscriptions,0.9,Matched rule: Software & Subscriptions,1
,JE-0009,,2026-08-31,2204.69,,Industrial materials - Globex Corporation,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,JE-0010,,2026-08-06,4571.67,,Consulting services - Customer Delta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0013,,2026-06-12,983.13,,Print advertising - Hooli Marketing,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,1
,JE-0015,,2026-08-30,2935.72,,Electricity bill - City Power & Light,Utilities,0.9,Matched rule: Utilities,1
,JE-0016,,2026-06-27,454.96,,Internet service (ref 1713),Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0018,,2026-08-03,7095.55,,Wire transfer fee - First National Bank,Bank Fees,0.9,Matched rule: Bank Fees,1
,JE-0019,,2026-07-30,6739.65,,Wire transfer fee - First National Bank,Bank Fees,0.9,Matched rule: Bank Fees,1
,JE-0021,,2026-07-19,9207.19,,Printer consumables - Office Depot,Office Supplies,0.9,Matched rule: Office Supplies,1
,JE-0024,,2026-08-28,3183.25,,Component parts - Globex Corporation,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,JE-0027,,2026-06-29,470.22,,Raw materials batch - Acme Industrial Supply,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,JE-0030,,2026-08-08,3987.95,,Raw materials batch - Acme Industrial Supply,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,JE-0034,,2026-08-31,420.13,,Cloud hosting - Umbrella Cloud Services,Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0035,,2026-07-09,5308.59,,Product sale - Customer Beta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0041,,2026-08-05,10199.83,,Consulting services - Customer Delta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0042,,2026-08-04,9398.34,,Consulting services - Customer Delta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,JE-0048,,2026-07-12,1240.0,,Depreciation charge - Tech Hardware Corp,Equipment & Depreciation,0.9,Matched rule: Equipment & Depreciation,1
,JE-0049,,2026-06-16,8600.0,,Accrual adjustment - Payroll Services Inc,Revenue - Services,0.9,Revenue pattern + positive flow,1
,,INV-0004,2026-08-06,41332.7,Customer Epsilon,Merchandise order Customer Epsilon,Revenue - Product Sales,0.95,Matched Revenue - Product Sales keywords,1
,,INV-0005,2026-08-22,1681.76,Hertz Car Rental,Team offsite hotel Hertz Car Rental,Rent - Office,0.9,Matched rule: Rent - Office,1
,,INV-0011,2026-08-31,2204.69,Globex Corporation,Industrial materials Globex Corporation,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,,INV-0012,2026-08-06,4571.67,Customer Delta,Consulting services Customer Delta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,,INV-0015,2026-06-12,983.13,Hooli Marketing,Print advertising Hooli Marketing,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,1
,,INV-0017,2026-08-30,2935.72,City Power & Light,Electricity bill City Power & Light,Utilities,0.9,Matched rule: Utilities,1
,,INV-0018,2026-08-06,34917.65,Dewey Cheatem & Howe,Tax advisory Dewey Cheatem & Howe,Professional Services,0.9,Matched rule: Professional Services,1
,,INV-0019,2026-07-06,34400.49,Acme Industrial Supply,Raw materials batch Acme Industrial Supply,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,,INV-0020,2026-06-06,6019.0,Customer Beta,Product sale Customer Beta,Revenue - Services,0.9,Revenue pattern + positive flow,1
,,INV-0022,2026-07-19,975.07,Wayne Properties,Parking lease Wayne Properties,Rent - Office,0.9,Matched rule: Rent - Office,1
,,INV-0023,2026-07-18,960.03,Wayne Properties,Parking lease Wayne Properties,Rent - Office,0.9,Matched rule: Rent - Office,1
,,INV-0025,2026-07-21,2315.85,Pied Piper Ads,Sponsored content Pied Piper Ads,Marketing & Advertising,0.9,Matched rule: Marketing & Advertising,1
,,INV-0026,2026-07-19,9207.19,Office Depot,Printer consumables Office Depot,Office Supplies,0.9,Matched rule: Office Supplies,1
,,INV-0030,2026-06-13,20653.91,Dewey Cheatem & Howe,Tax advisory Dewey Cheatem & Howe,Professional Services,0.9,Matched rule: Professional Services,1
,,INV-0034,2026-08-08,3987.95,Acme Industrial Supply,Raw materials batch Acme Industrial Supply,COGS - Materials,0.9,Matched rule: COGS - Materials,1
,,INV-0047,2026-08-12,3400.0,Acme Industrial Supply,"Pending delivery, not yet paid Acme Industrial Supply",COGS - Materials,0.9,Matched rule: COGS - Materials,1
